year,total_area,wheat_area,wheat_proportion,rice_area,rice_proportion,sorghum_and_corn_area,sorghum_and_corn_proportion,corn_area,sorghum_area,other_area,other_proportion,Farm
1955,1443,24,1.7,1330,92.4,/,/,/,/,86,5.9,lianhu
1956,9238,51,0.6,9067,98.1,/,/,/,/,120,1.3,lianhu
1957,12764,61,0.5,10994,85.8,/,/,/,/,1764,13.7,lianhu
1958,13711,2751,20.1,10004,73,/,/,/,/,956,6.9,lianhu
1959,9900,822,8.3,6399,64.6,89,0.9,/,89,2506,25.3,lianhu
1960,13000,2155,16.6,10065,77.4,247,1.9,/,247,533,4.1,lianhu
1961,14490,1692,11.7,10938,75.5,1110,7.7,/,1110,750,5.1,lianhu
1962,14639,3178,21.7,8788,59.8,980,6.7,/,980,1693,11.8,lianhu
1963,13187,3371,25.6,9058,68.7,742,5.6,5,737,16,0.1,lianhu
1964,13312,3421,25.7,9035,67.9,850,6.4,/,850,440,3.6,lianhu
1965,11998,3345,27.9,7331,61.1,882,7.4,49,833,1090,7.3,lianhu
1966,14973,5127,34.2,8394,56.1,362,2.4,237,125,1353,8.1,lianhu
1967,16727,5887,35.2,8116,48.5,1371,8.2,870,501,1410,8.4,lianhu
1968,16718,5462,32.7,8000,47.9,1846,11,1514,332,980,5.4,lianhu
1969,18178,7860,43.2,7347,40.4,1991,11,1776,215,2465,12.4,lianhu
1970,19813,8754,44.2,6983,35.3,1607,8.7,1607,/,4941,24.4,lianhu
1971,20296,7675,37.8,5458,26.9,2222,10.9,2148,73,4941,24.4,lianhu
1972,21657,10642,49.1,5785,26.7,1630,7.5,1121,509,3600,16.7,lianhu
1973,20751,12157,58.6,4500,21.7,1815,8.7,500,1315,2279,11,lianhu
1974,21850,8477,38.8,4525,20.7,5429,24.9,675,4754,3419,15.6,lianhu
1975,22975,8157,35.5,4804,20.9,5363,23.3,1495,3870,4651,20.3,lianhu
1976,19979,8585,43,6165,30.9,4124,20.6,2036,2088,1105,5.5,lianhu
1977,22895,9242,40.4,4924,21.5,4222,18.4,3138,1084,4507,19.7,lianhu
1978,20500,6535,31.9,5463,26.7,5585,27.2,3522,2063,2917,14.2,lianhu
1979,19636,8835,45,5439,27.7,4932,25.1,1711,3221,430,22,lianhu
1980,15834,7338,46.3,5489,34.7,3006,19,1767,1239,/,/,lianhu
1981,16128,7807,48.4,5350,33.2,2973,18.4,1777,1194,/,/,lianhu
1982,16880,7395,43.8,6646,39.4,2840,16.8,1821,1019,/,/,lianhu
1983,16520,7559,45.8,6218,37.6,2743,16.6,1198,1545,/,/,lianhu
1984,16740,6913,41.3,7753,46.4,2064,12.3,933,1131,10,/,lianhu
1985,17247,6694,38.8,6917,40.1,2653,15.4,703,1450,983,5.7,lianhu
1986,16572,7044,42.5,7044,42.5,2404,14.5,1044,1360,80,0.5,lianhu
1987,16850,6490,39.3,7536,45.6,2485,15.1,607,1879,/,/,lianhu
1988,17167,6391,37.9,7626,45.3,2829,16.8,942,1732,/,/,lianhu
1989,17259,6197,37.5,7506,45.3,2839,17.2,1446,1393,/,/,lianhu
1990,18686,6165,37,7912,47.5,2581,15.5,1682,899,/,/,lianhu
1991,18780,6388,37.6,7659,45.1,2642,15.5,1478,1164,300,1.8,lianhu
1992,19785,6528,39.2,7129,42.8,2439,14.7,1850,589,548,3.3,lianhu
1993,20865,5007,33.9,5862,39.7,3298,22.3,1879,1419,605,4.1,lianhu
1994,20640,3872,34.2,4151,36.6,2807,24.8,1905,902,500,4.4,lianhu
1995,19500,5165,39,5310,40.1,2610,19.7,2505,105,165,1.2,lianhu
1996,23055,4110,23.9,6105,35.6,6825,39.7,6090,735,132,0.8,lianhu
1997,28530,8951,40.6,7144,32.4,4779,21.7,3644,1135,1157,5.3,lianhu
1998,25965,9825,46.6,6720,31.9,4050,19.2,4050,/,500,2.3,lianhu
1999,24855,9810,41.4,8010,33.8,5745,24.3,5745,/,105,0.5,lianhu
2000,25575,9390,39.6,7755,32.7,6375,26.9,6375,/,195,0.8,lianhu
2001,25530,9060,45.6,6225,31.3,4575,23.1,4575,/,/,/,lianhu
2002,25470,8430,38.9,7680,35.5,5535,25.6,5430,105,/,/,lianhu
2003,24180,3600,22.9,4170,26.6,6330,40.3,6075,255,1595,10.2,lianhu
2004,24510,9795,47.7,6345,30.9,4365,21.3,4320,45,15,0.1,lianhu
2005,20895,10170,48.7,7620,36.5,3103,14.9,3103,/,/,/,lianhu
2006,20310,12135,59.7,6045,29.8,2025,10,2025,/,105,/,lianhu
2007,20730,8760,42.3,4890,23.6,6855,33.1,6540,315,225,/,lianhu
2008,20775,5940,28.6,7815,37.6,6840,32.9,6840,/,180,/,lianhu
,,,,,,,,,,,,lianhu